rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
71,BSV Münsterland Baskets Wulfen,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,4,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
72,BÖRGEL Ballers Ibbenbüren,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,5,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
73,Citybasket Recklinghausen,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,6,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
74,DTV Basketball Köln,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,7,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
75,LippeBaskets Werne,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,8,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
76,RheinStars Köln 2,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,9,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
77,Rheingas Elephants Grevenbroich,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,10,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
78,SV Haspe 70,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,11,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
79,TSV Bayer 04 Leverkusen 2,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,12,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
80,TV Gerthe,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,13,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
81,TuS 59 HammStars,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,14,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
82,1. FCK epsotech Baskets,Regionalliga Südwest,Regionalliga Südwest,5,2. Regionalliga,2. Regionalliga Herren Nord,52859,1,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
83,ASC Theresianum Mainz,Regionalliga Südwest,Regionalliga Südwest,5,2. Regionalliga,2. Regionalliga Herren Nord,52859,2,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
84,BBC Horchheim,Regionalliga Südwest,Regionalliga Südwest,5,2. Regionalliga,2. Regionalliga Herren Nord,52859,3,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
85,BBG Herford 2,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 2 Herren (2RL2H),54571,1,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
86,BC Neu-Isenburg,Regionalliga Südwest,Regionalliga Südwest,5,2. Regionalliga,2. Regionalliga Herren Nord,52859,4,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
87,BC Soest,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 2 Herren (2RL2H),54571,2,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
88,BG Aachen,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 1 Herren (2RL1H),54570,1,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
89,BG Dorsten,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 2 Herren (2RL2H),54571,3,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
90,BG Remseck,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,1,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
91,BG Tamm/Bietigheim,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,2,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
92,BG Viernheim/Weinheim,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,3,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
93,Barmer TV,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 1 Herren (2RL1H),54570,2,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
94,Baskets Lüdenscheid,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 2 Herren (2RL2H),54571,4,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
95,Bona Baskets Limburg,Regionalliga Südwest,Regionalliga Südwest,5,2. Regionalliga,2. Regionalliga Herren Nord,52859,5,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
96,Croatia Hawks,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,4,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
97,DJK Südwest Köln,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 1 Herren (2RL1H),54570,3,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
98,DTV Basketball Köln 2,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 1 Herren (2RL1H),54570,4,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
99,ETB Miners Essen 2,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 2 Herren (2RL2H),54571,5,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
100,Eintracht Frankfurt,Regionalliga Südwest,Regionalliga Südwest,5,2. Regionalliga,2. Regionalliga Herren Nord,52859,6,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
101,Future Sports Meckenheim,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 1 Herren (2RL1H),54570,5,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
102,HAKRO Merlins Crailsheim 2,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,5,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
103,KKK Haiterbach,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,6,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
104,Lokomotive TS Göppingen,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,7,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
105,Paderborn Baskets 2,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 2 Herren (2RL2H),54571,6,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
106,SC Fast-Break Leverkusen,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 1 Herren (2RL1H),54570,6,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
107,SG Eichenkreuz Karlsruhe,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,8,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
108,SG Sechtem,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 1 Herren (2RL1H),54570,7,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
109,SG TV Dürkheim-BI Speyer 2,Regionalliga Südwest,Regionalliga Südwest,5,2. Regionalliga,2. Regionalliga Herren Nord,52859,7,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
110,SKG Roßdorf,Regionalliga Südwest,Regionalliga Südwest,5,2. Regionalliga,2. Regionalliga Herren Nord,52859,8,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
111,SV Haspe 70 2,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 2 Herren (2RL2H),54571,7,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
112,SV03 Tigers Tübingen,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,9,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
113,Sportclub Krefeld,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 1 Herren (2RL1H),54570,8,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
114,Südwest Baskets Wuppertal,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 1 Herren (2RL1H),54570,9,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
115,TG Düsseldorf,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 1 Herren (2RL1H),54570,10,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
116,TSG Heilbronn REDS,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,53316,10,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
