rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
69,DJK Unitas HAAN E.V.,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 2,12908,4,0,0,0,0,0,0,0,0,0.0,,handball.net
70,DJK/MJC Trier,Handballverband Rheinland,Handballverband Rheinland,5,Oberliga,Oberliga Frauen · Handballverband Rheinland,12821,1,0,0,0,0,0,0,0,0,0.0,,handball.net
71,ETV Hamburg,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Frauen (200),12383,1,0,0,0,0,0,0,0,0,0.0,,handball.net
72,F.C. Vorwärts Wettringen e.V. I,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 2,12652,5,0,0,0,0,0,0,0,0,0.0,,handball.net
73,FC St. Pauli,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Frauen (200),12383,2,0,0,0,0,0,0,0,0,0.0,,handball.net
74,Fortuna Düsseldorf 1895 E.V. 1f,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 1,12910,3,0,0,0,0,0,0,0,0,0.0,,handball.net
75,HC Koblenz,Handballverband Rheinland,Handballverband Rheinland,5,Oberliga,Oberliga Frauen · Handballverband Rheinland,12821,2,0,0,0,0,0,0,0,0,0.0,,handball.net
76,HC Perl,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Frauen,13012,2,0,0,0,0,0,0,0,0,0.0,,handball.net
77,HF Köllertal,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Frauen,13012,3,0,0,0,0,0,0,0,0,0.0,,handball.net
78,HF UNTERE SAAR 2 kann raus,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Frauen,13012,4,0,0,0,0,0,0,0,0,0.0,,handball.net
