staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
13436,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Männer Gruppe 4 (134),8,4,246,8,SG Wilhelmsburg,4,handball.net
17293,Hamburger Handballverband,Hamburger Handballverband,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Senioren (331),4,0,0,0,1. Handballclub Quickborn Ü40,0,handball.net
12961,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Nord,12,15,834,30,HSG Schülp/Westerrönfeld/Rendsburg II,6,handball.net
12962,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Ost,12,13,694,26,TSV PLÖN,4,handball.net
12964,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer Süd,13,17,834,34,HSG Holsteinische Schweiz II,6,handball.net
12963,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Männer West,12,12,670,24,HSG Kalkberg 06,4,handball.net
12662,Handballkreis Hellweg,Handballkreis Hellweg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Männer Bezirksliga HKH,12,6,333,12,SG Handball Kamen,2,handball.net
13224,Handballkreis Münsterland,Handballkreis Münsterland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksliga Münsterland Männer,14,12,619,24,SC Arminia Ochtrup,4,handball.net
12482,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 1,12,13,680,26,HSG Mutterstadt/Ruchheim,6,handball.net
12483,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 2,12,16,874,32,MSG Iggelheim/Meckenheim 2,6,handball.net
14339,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirklsliga Südwestfalen,12,4,206,8,TG Voerde 1. Herren,2,handball.net
14340,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Mitte,12,5,267,12,TV Arnsberg H1,2,handball.net
14338,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Ruhrgebiet,12,6,316,12,DJK Welper,2,handball.net
14543,Mosel/Eifel-Nahe/Hunsrück,Mosel/Eifel-Nahe/Hunsrück,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Mosel/Eifel-Nahe/Hunsrück,10,5,281,10,HSG Obere Nahe,2,handball.net
13124,Rhein/Westerwald,Rhein/Westerwald,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Rhein/Westerwald,10,3,164,6,TV Bad Ems II,2,handball.net
14819,HK Aachen-Düren,HK Aachen-Düren,9,Bezirksliga / Kreisliga / Regionsliga,Regionsliga,9,0,0,0,Eschweiler SG III,0,handball.net
12897,HK Bonn-Euskirchen-Sieg,HK Bonn-Euskirchen-Sieg,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer,9,2,98,4,Wölfe Voreifel IV,2,handball.net
16078,HK Essen,HK Essen,9,Bezirksliga / Kreisliga / Regionsliga,Regionsliga Männer Nord,10,4,205,8,ETB SW Essen II,2,handball.net
14914,HK Essen,HK Essen,9,Bezirksliga / Kreisliga / Regionsliga,Regionsliga Männer Süd,11,4,217,8,ATV Hückeswagen II,2,handball.net
15675,HK Krefeld-Grenzland,HK Krefeld-Grenzland,9,Bezirksliga / Kreisliga / Regionsliga,BL Männer,14,1,0,2,Handball Oppum III,1,handball.net
12889,HK Köln-Rheinberg,HK Köln-Rheinberg,9,Bezirksliga / Kreisliga / Regionsliga,Regionsliga Männer · HK Köln-Rheinberg,14,0,0,0,Brühler TV II,0,handball.net
12960,HK Oberberg,HK Oberberg,9,Bezirksliga / Kreisliga / Regionsliga,Regionsliga Männer,8,0,0,0,Blue-White-Dynamite VFL Gummersbach E.V.,0,handball.net
13017,HK Rhein-Ruhr,HK Rhein-Ruhr,9,Bezirksliga / Kreisliga / Regionsliga,REGIONSLIGA MÄNNER,12,0,0,0,Alstadener TUS III,0,handball.net
13065,HK Wesel,HK Wesel,9,Bezirksliga / Kreisliga / Regionsliga,Regionsliga Männer · HK Wesel,9,0,0,0,HC TV Rhede III,0,handball.net
13116,HR Leipzig,HR Leipzig,9,Bezirksliga / Kreisliga / Regionsliga,RL Männer · HR Leipzig,12,12,688,24,SV LOK LEIPZIG-Mitte II,4,handball.net
13110,HR Ostsachsen,HR Ostsachsen,9,Bezirksliga / Kreisliga / Regionsliga,RL Männer · HR Ostsachsen,10,8,436,16,OHC Bernstadt II,4,handball.net
13103,HR Sachsen-Mitte,HR Sachsen-Mitte,9,Bezirksliga / Kreisliga / Regionsliga,RL Männer,11,10,559,20,SF 01 Dresden,4,handball.net
13096,HR Südwestsachsen,HR Südwestsachsen,9,Bezirksliga / Kreisliga / Regionsliga,RL Männer · HR Südwestsachsen,12,10,457,20,Rotation Borstendorf,3,handball.net
13440,Hamburger Handballverband,Hamburger Handballverband,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer Gruppe 1 (141),9,4,252,8,Niendorfer TSV III,2,handball.net
13442,Hamburger Handballverband,Hamburger Handballverband,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer Gruppe 2 (142),10,7,405,14,SC Alstertal-Langenhorn,4,handball.net
12969,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel A,9,5,256,10,TSV Hürup III,4,handball.net
12970,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel B,8,3,147,6,HSG Schülp/Westerrönfeld/Rendsburg III,2,handball.net
12971,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel C,10,7,382,14,HSG 24109 II,4,handball.net
12972,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel D,9,3,177,6,Preetzer TSV II,2,handball.net
12973,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel E,10,7,389,14,HSG Ohlau,3,handball.net
12974,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel F,8,4,172,8,HSG Wagrien II,2,handball.net
12975,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,Handball-Erwachsene DER Kreishandballverbände IN Schleswig-Holstein,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer - Staffel G,10,7,395,14,HSG Beste Trave,4,handball.net
13295,Handballkreis Bielefeld-Herford,Handballkreis Bielefeld-Herford,9,Bezirksliga / Kreisliga / Regionsliga,Männer Kreisliga Bielefeld-Herford,9,3,163,6,TuS 97 Bielefeld/Jöllenbeck III,2,handball.net
12777,Handballkreis Dortmund,Handballkreis Dortmund,9,Bezirksliga / Kreisliga / Regionsliga,HKDO-KL-M,10,4,215,8,TV Mengede,2,handball.net
12456,Handballkreis Gütersloh,Handballkreis Gütersloh,9,Bezirksliga / Kreisliga / Regionsliga,HBKGT Männer Kreisliga,12,11,557,22,FC Greffen,4,handball.net
13011,Handballkreis Hagen/Ennepe-Ruhr,Handballkreis Hagen/Ennepe-Ruhr,9,Bezirksliga / Kreisliga / Regionsliga,MÄNNER KREISLIGA HKHR,11,4,217,8,RE Schwelm 1,2,handball.net
12689,Handballkreis Hellweg,Handballkreis Hellweg,9,Bezirksliga / Kreisliga / Regionsliga,Männer Kreisliga HKH,9,1,55,2,HCE Bergkamen 2.H,2,handball.net
12710,Handballkreis Industrie,Handballkreis Industrie,9,Bezirksliga / Kreisliga / Regionsliga,HKI-M-Kreisliga,13,9,529,18,DJK Westfalia Welper E.V. II,4,handball.net
15069,Handballkreis Iserlohn-Arnsberg,Handballkreis Iserlohn-Arnsberg,9,Bezirksliga / Kreisliga / Regionsliga,HKISAR Kreisliga MÄNNER,10,1,50,2,HSG Schwerte Westhofen 1.H,2,handball.net
15898,Handballkreis Lenne-Sieg,Handballkreis Lenne-Sieg,9,Bezirksliga / Kreisliga / Regionsliga,HKLesi Kreisliga A Männer,9,1,56,2,HSG Wittgenstein,2,handball.net
15787,Handballkreis Lenne-Sieg,Handballkreis Lenne-Sieg,9,Bezirksliga / Kreisliga / Regionsliga,KLB Süd 3 Runde,5,0,0,0,HSG Siegerland II,0,handball.net
13093,Handballkreis Lenne-Sieg,Handballkreis Lenne-Sieg,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga B Nord,7,2,113,4,TuS Grünenbaum 2,2,handball.net
13094,Handballkreis Lenne-Sieg,Handballkreis Lenne-Sieg,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga B Süd,5,1,55,2,TUS Fellinghausen E.V. VON 1920 II,2,handball.net
13126,Handballkreis Lippe,Handballkreis Lippe,9,Bezirksliga / Kreisliga / Regionsliga,HBKLIP Kreisliga Männer,12,7,306,14,HSG Altenbeken/Buke 2,4,handball.net
13016,Handballkreis Minden-Lübbecke,Handballkreis Minden-Lübbecke,9,Bezirksliga / Kreisliga / Regionsliga,HBKML Männer Kreisliga,14,10,530,20,TSV Hahlen 2,4,handball.net
13227,Handballkreis Münsterland,Handballkreis Münsterland,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Münsterland Männer,12,5,251,10,TV Vreden II,2,handball.net
12486,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,9,Bezirksliga / Kreisliga / Regionsliga,M-BZL 1,11,11,656,22,TV Nieder-Olm 3,6,handball.net
12487,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,9,Bezirksliga / Kreisliga / Regionsliga,M-BZL 2,11,14,799,28,TV 03 Wörth 2,4,handball.net
14382,Handballverband SAAR,Handballverband SAAR,9,Bezirksliga / Kreisliga / Regionsliga,Bezirksliga Männer,12,11,592,22,Falken 2 (m),4,handball.net
12671,KÜS Ostwestfalenlippe,KÜS Ostwestfalenlippe,9,Bezirksliga / Kreisliga / Regionsliga,OWL Männer Bezirksliga Staffel 1,14,12,668,24,VFL Handball Mennighüffen II,4,handball.net
12672,KÜS Ostwestfalenlippe,KÜS Ostwestfalenlippe,9,Bezirksliga / Kreisliga / Regionsliga,OWL Männer Bezirksliga Staffel 2,14,13,666,26,TSG Harsewinkel II,4,handball.net
14548,Mosel/Eifel-Nahe/Hunsrück,Mosel/Eifel-Nahe/Hunsrück,9,Bezirksliga / Kreisliga / Regionsliga,Bezirksliga Männer Mosel/Eifel-Nahe/Hunsrück,5,1,50,2,TUS Fortuna Saarburg II,2,handball.net
15020,Rhein/Westerwald,Rhein/Westerwald,9,Bezirksliga / Kreisliga / Regionsliga,Bezirksliga Männer Rhein/Westerwald,8,0,0,0,DJK Betzdorf,0,handball.net
14417,Bergischer HK,Bergischer HK,10,Bezirksklasse / Kreisklasse / Regionsklasse,1. Regionsklasse Männer BHK,9,2,131,4,Wermelskirchener TV II,2,handball.net
14820,HK Aachen-Düren,HK Aachen-Düren,10,Bezirksklasse / Kreisklasse / Regionsklasse,Regionsklasse,11,0,0,0,BSC Setterich,0,handball.net
17301,HK Bonn-Euskirchen-Sieg,HK Bonn-Euskirchen-Sieg,10,Bezirksklasse / Kreisklasse / Regionsklasse,Kreisklasse Männer,9,0,0,0,Godesberger TV II,0,handball.net
15941,HK Düsseldorf,HK Düsseldorf,10,Bezirksklasse / Kreisklasse / Regionsklasse,1. Regionsklasse Männer (HK Düsseldorf),9,0,0,0,HSG JAHN 05/Sc WEST 1m,0,handball.net
16888,HK Essen,HK Essen,10,Bezirksklasse / Kreisklasse / Regionsklasse,Regionsklasse Essen Männer,9,3,142,6,HSV ÜBERRUHR 3.Männer,2,handball.net
16080,HK Essen,HK Essen,10,Bezirksklasse / Kreisklasse / Regionsklasse,Regionsklasse Wuppertal Männer,7,2,106,4,Cronenberger TG IV,2,handball.net
15676,HK Krefeld-Grenzland,HK Krefeld-Grenzland,10,Bezirksklasse / Kreisklasse / Regionsklasse,BK Männer,14,0,0,0,ASV Süchteln 3M,0,handball.net
12894,HK Köln-Rheinberg,HK Köln-Rheinberg,10,Bezirksklasse / Kreisklasse / Regionsklasse,Regionsklasse Männer,14,0,0,0,1.Fc KÖLN III,0,handball.net
