rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
1842,SG Germania Lamme/TB Bortfeld,Niedersachsen,Kreis Braunschweig,7,Kreisliga,Frauen Kreisliga A Braunschweig,031NMHED78000004VS5489BUVT2M8LCU-G,2,1,1,0,0,3,0,3,3,3.0,,fussball.de
1843,SG Grafeld-Berge,Niedersachsen,Kreis Osnabrück,7,Kreisliga,Kreisliga Osnabrück,0316EAM4T8000007VS5489BUVSBBVPEU-G,1,2,2,0,0,6,0,6,6,3.0,,fussball.de
1844,SG Knesebeck-Hankensbüttel,Niedersachsen,Kreis Braunschweig,7,Kreisliga,Frauen Kreisliga A Braunschweig,031NMHED78000004VS5489BUVT2M8LCU-G,3,1,1,0,0,3,0,3,3,3.0,,fussball.de
1845,SSV Frohnhausen,Hessen,Region Gießen / Marburg,7,Oberliga (Region),FKOL GI/MR Gr. 1 · Region Gießen / Marburg,031F9S09RO00000AVS5489BUVSJ4CRAP-G,3,2,2,0,0,6,0,6,6,3.0,,fussball.de
1846,SV Böhme II (7er),Niedersachsen,Kreis Heidekreis,7,Kreisliga,Kreisliga Frauen Heidekreis,03172M1UU8000004VS5489BUVSBBVPEU-G,2,2,2,0,0,6,0,6,6,3.0,,fussball.de
1847,Spvgg. 08 Bad Nauheim,Hessen,Region Frankfurt,7,Oberliga (Region),KOL Frankfurt · Region Frankfurt,031EVOL33C00000BVS5489BTVUS470OH-G,2,2,2,0,0,6,0,6,6,3.0,,fussball.de
1848,TS 1919 Struck,Niederrhein,Kreis Wuppertal-Niederberg,7,Kreisliga A,Frauen-Kreisliga Gruppe 2 · Kreis Wuppertal-Niederberg,031G0E5QFS000004VS5489BUVSJ4CRAP-G,4,1,1,0,0,3,0,3,3,3.0,,fussball.de
1849,TuRa Eggenscheid,Westfalen,Kreis Iserlohn,7,Kreisliga A,Frauen KL A Iserlohn/Lüdenscheid/Arnsberg,031EL7514800000AVS5489BTVUS470OH-G,2,1,1,0,0,3,0,3,3,3.0,,fussball.de
1850,VfL Herzlake,Niedersachsen,Kreis Emsland,7,Kreisliga,Frauen Kreisliga Ems-Vechte · Kreis Emsland,0318JGRN2S000005VS5489BTVSK8S3O6-G,1,4,4,0,0,12,1,11,12,3.0,,fussball.de
1851,ASC LEONE,Westfalen,Kreis Herne,7,Kreisliga A,Frauen Kreisliga  A HER/GE/RE · Kreis Herne,031DDHDRBS000009VS5489BTVUS470OH-G,1,3,3,0,0,13,5,8,9,3.0,,fussball.de
1852,SuS Störmede,Westfalen,Kreis Lippstadt,7,Kreisliga A,Kreisliga A  Lippstadt/Soest,031O39Q850000004VS5489BTVV1LNS7C-G,1,3,3,0,0,9,1,8,9,3.0,,fussball.de
1853,TSV Nesse (9er),Niedersachsen,Kreis Cuxhaven,7,Kreisliga,Frauen Kreisliga · Kreis Cuxhaven,03153PKDB0000008VS5489BUVSBBVPEU-G,2,3,3,0,0,8,0,8,9,3.0,,fussball.de
1854,Sportfreunde 06 Neuwerk,Niederrhein,Kreis Grevenbroich-Neuss,7,Kreisliga A,Frauen-Kreisliga Gruppe 6 · Kreis Grevenbroich-Neuss,031G0KED0C000007VS5489BUVSJ4CRAP-G,4,2,2,0,0,8,3,5,6,3.0,,fussball.de
1855,FC Viktoria Schaafheim II,Hessen,Region Darmstadt,7,Oberliga (Region),FKOL DA · Region Darmstadt,031F0B2R7C00000CVS5489BTVUS470OH-G,4,2,2,0,0,7,2,5,6,3.0,,fussball.de
1856,ETB Schwarz-Weiß Essen II.,Niederrhein,Kreis Essen,7,Kreisliga A,Frauen-Kreisliga Gruppe 3 · Kreis Essen,031G0FMPS4000009VS5489BUVSJ4CRAP-G,3,2,2,0,0,6,1,5,6,3.0,,fussball.de
1857,(SG) SV Weidenberg/TSV Bayreuth-St. Johannis,Bayern,Bezirk Oberfranken,7,Bezirksliga,Frauen BZL Ost · Bezirk Oberfranken,031DR3UOF4000007VS5489BTVUS470OH-G,2,2,2,0,0,5,0,5,6,3.0,,fussball.de
1858,Paloma 1.Fr.,Hamburg,Kreisebene Hamburg,7,Kreisliga,FKL 02 · Kreisebene Hamburg,0314CF1BV000000FVS5489BTVU7GTVLE-G,3,2,2,0,0,5,0,5,6,3.0,,fussball.de
1859,SV Jägerhaus - Linde,Niederrhein,Kreis Wuppertal-Niederberg,7,Kreisliga A,Frauen-Kreisliga Gruppe 2 · Kreis Wuppertal-Niederberg,031G0E5QFS000004VS5489BUVSJ4CRAP-G,5,1,1,0,0,4,2,2,3,3.0,,fussball.de
1860,TuS Teutonia Alveslohe (7er),Schleswig-Holstein,Kreis Segeberg,7,Kreisklasse A,Frauen Kreisklasse A Süd · Kreis Segeberg,031M6KFOP4000003VS5489BTVSRD0UH9-G,4,1,1,0,0,4,2,2,3,3.0,,fussball.de
1861,(SG) 1. FC Burk /DJK-FC Schlaifhausen 1,Bayern,Bezirk Mittelfranken,7,Bezirksliga,Frauen BZL Nord · Bezirk Mittelfranken,031FCGP6VO000007VS5489BUVSJ4CRAP-G,1,1,1,0,0,3,1,2,3,3.0,,fussball.de
1862,(SG) SV Erlingen/SC Biberbach 2,Bayern,Bezirk Schwaben,7,Bezirksliga,Frauen BZL Nord · Bezirk Schwaben,031BE7174G000007VS5489BUVUR5FS5A-G,3,1,1,0,0,3,1,2,3,3.0,,fussball.de
1863,Agrippina I,Mittelrhein,Kreis Köln,7,Kreisliga A,Kreisliga A - Frauen · Kreis Köln,030TOD9FC4000003VS5489BUVSOV43J9-G,6,1,1,0,0,3,1,2,3,3.0,,fussball.de
1864,Olympia Kassel,Hessen,Region Kassel,7,Oberliga (Region),FKOL KS · Region Kassel,031HSVVFR400000BVS5489BUVVKNMR0J-G,3,2,2,0,0,6,2,4,6,3.0,,fussball.de
1865,SG 1.FC / Eintracht Nord Wolfsburg II,Niedersachsen,Kreis Braunschweig,7,Kreisliga,Frauen Kreisliga A Braunschweig,031NMHED78000004VS5489BUVT2M8LCU-G,4,1,1,0,0,3,1,2,3,3.0,,fussball.de
1866,SG Alswede/Börninghausen,Westfalen,Kreis Lübbecke,7,Kreisliga A,Frauen Kreisliga A HF/LE/MI/LK · Kreis Lübbecke,031HA3R4QO000008VS5489BUVSJ4CRAP-G,2,1,1,0,0,3,1,2,3,3.0,,fussball.de
1867,STV Deutenbach,Bayern,Bezirk Mittelfranken,7,Bezirksliga,Frauen BZL Nord · Bezirk Mittelfranken,031FCGP6VO000007VS5489BUVSJ4CRAP-G,2,1,1,0,0,3,1,2,3,3.0,,fussball.de
1868,FC Oste/Oldendorf II,Niedersachsen,Kreis Stade,7,Kreisliga,Frauen Kreisliga Stade/Harburg,0318KFE3TC00000AVS5489BUVV628VP4-G,3,2,2,0,0,5,1,4,6,3.0,,fussball.de
1869,(SG ) TSV 1910 Ebermannstadt / SpVgg DJK Eggolsheim,Bayern,Bezirk Mittelfranken,7,Bezirksliga,Frauen BZL Nord · Bezirk Mittelfranken,031FCGP6VO000007VS5489BUVSJ4CRAP-G,3,1,1,0,0,2,0,2,3,3.0,,fussball.de
1870,(SG) SC Michelsneukirchen / 1.Spielgemeinschaft Regental,Bayern,Bezirk Oberpfalz,7,Bezirksliga,Frauen BZL Süd · Bezirk Oberpfalz,0316VDSH28000002VS5489BTVU7GTVLE-G,3,1,1,0,0,2,0,2,3,3.0,,fussball.de
1871,B-W Hollage II,Niedersachsen,Kreis Osnabrück,7,Kreisliga,Kreisliga Osnabrück,0316EAM4T8000007VS5489BUVSBBVPEU-G,4,1,1,0,0,2,0,2,3,3.0,,fussball.de
1872,SG Exten/Kalletal II (9er),Niedersachsen,Kreis Schaumburg,7,Kreisliga,Kreisliga Hameln-Pyrmont/Schaumburg Staffel A,031CHGC3MC000004VS5489BTVUS470OH-G,4,1,1,0,0,2,0,2,3,3.0,,fussball.de
1873,SV GS Hohenholte,Westfalen,Kreis Münster,7,Kreisliga A,Frauen Kreisliga A · Kreis Münster,031HT6D5G0000008VS5489BUVVKNMR0J-G,4,1,1,0,0,2,0,2,3,3.0,,fussball.de
1874,SV Union Wetten II.,Niederrhein,Kreis Kempen-Krefeld,7,Kreisliga A,Frauen-Kreisliga Gruppe 5 · Kreis Kempen-Krefeld,031G0I78HK000000VS5489BUVSJ4CRAP-G,4,2,2,0,0,4,0,4,6,3.0,,fussball.de
1875,SpVgg Oelde,Westfalen,Kreis Beckum,7,Kreisliga A,Frauen Kreisliga A Beckum-Gütersloh,031AROBD8G000004VS5489BTVSK8S3O6-G,3,1,1,0,0,2,0,2,3,3.0,,fussball.de
1876,TuS Medebach (9er),Westfalen,Kreis Arnsberg,7,Kreisliga A,Kreisliga A Arnsberg/HSK/Olpe,031KRB8FGO000007VS5489BUVVKNMR0J-G,6,1,1,0,0,2,0,2,3,3.0,,fussball.de
1877,Tus Grünenbaum (9er),Westfalen,Kreis Iserlohn,7,Kreisliga A,Frauen KL A Iserlohn/Lüdenscheid/Arnsberg,031EL7514800000AVS5489BTVUS470OH-G,3,1,1,0,0,2,0,2,3,3.0,,fussball.de
1878,Vorwärts Epe,Westfalen,Kreis Ahaus-Coesfeld,7,Kreisliga A,Frauen Kreisliga A Ahaus-Coesfeld,031LOM6FKC000002VS5489BTVSRD0UH9-G,1,4,4,0,0,10,3,7,12,3.0,,fussball.de
1879,Vorwärts Spoho IV,Mittelrhein,Kreis Köln,7,Kreisliga A,Kreisliga A - Frauen · Kreis Köln,030TOD9FC4000003VS5489BUVSOV43J9-G,2,2,2,0,0,9,6,3,6,3.0,,fussball.de
1880,MTV Jeddingen II,Niedersachsen,Kreis Rotenburg,7,Kreisliga,Frauen Kreisliga Rotenburg,03181DLOQO000005VS5489BTVU7GTVLE-G,2,2,2,0,0,7,4,3,6,3.0,,fussball.de
1881,SG Jahn Ströhen,Niedersachsen,Kreis Diepholz,7,Kreisliga,Kreisliga Frauen · Kreis Diepholz,031EAMUNMC000003VS5489BTVUS470OH-G,3,2,2,0,0,7,4,3,6,3.0,,fussball.de
1882,Brochterbecker Sportverein 1948 e.V.,Westfalen,Kreis Steinfurt,7,Kreisliga A,Kreisliga A Steinfurt - Tecklenburg,031HMP0DSO000004VS5489BUVVKNMR0J-G,5,2,2,0,0,5,2,3,6,3.0,,fussball.de
1883,SV Grün-Weiss Tolk (7er),Schleswig-Holstein,Kreis Schleswig-Flensburg,7,Kreisklasse A,Frauen KKA N-O (SL-FL) · Kreis Schleswig-Flensburg,031LFAO8HS000004VS5489BTVSRD0UH9-G,2,2,2,0,0,5,2,3,6,3.0,,fussball.de
1884,SG Nendorf/Uchte,Niedersachsen,Kreis Nienburg,7,Kreisliga,Frauen Kreisliga Nienburg,031EFISAMK000006VS5489BUVUR5FS5A-G,3,2,2,0,0,4,1,3,6,3.0,,fussball.de
1885,FC Gleichen,Niedersachsen,Kreis Göttingen-Osterode,7,Kreisliga,Kreisliga Frauen · Kreis Göttingen-Osterode,03168M09SG000004VS5489BUVSBBVPEU-G,1,3,3,0,0,5,1,4,9,3.0,,fussball.de
1886,DJK-SSG Darmstadt II,Hessen,Region Darmstadt,7,Oberliga (Region),FKOL DA · Region Darmstadt,031F0B2R7C00000CVS5489BTVUS470OH-G,5,2,2,0,0,7,5,2,6,3.0,,fussball.de
1887,(SG) SF Weidenthal-Guteneck / SV Altendorf,Bayern,Bezirk Oberpfalz,7,Bezirksliga,Frauen BZL Nord · Bezirk Oberpfalz,0316VDSGSK000006VS5489BTVU7GTVLE-G,3,1,1,0,0,3,2,1,3,3.0,,fussball.de
1888,FC Ostereistedt/Rhade,Niedersachsen,Kreis Rotenburg,7,Kreisliga,Frauen Kreisliga Rotenburg,03181DLOQO000005VS5489BTVU7GTVLE-G,5,1,1,0,0,3,2,1,3,3.0,,fussball.de
1889,Post SV Nürnberg,Bayern,Bezirk Mittelfranken,7,Bezirksliga,Frauen BZL Nord · Bezirk Mittelfranken,031FCGP6VO000007VS5489BUVSJ4CRAP-G,4,1,1,0,0,3,2,1,3,3.0,,fussball.de
