staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
031CG84VVO000006VS5489BTVUS470OH-G,Thüringen,Kreis Westthüringen,5,Kreisoberliga,KREISOBERLIGA FRAUEN · Kreis Westthüringen,8,3,25,8,Fischbacher SV,3,fussball.de
0314GV0PE000000TVS5489BUVSBBVPEU-G,Westfalen,Westfalen,5,Landesliga,IGA 2027 Frauen Landesliga Staffel 1 · Westfalen,14,21,105,60,Delbrücker SC,9,fussball.de
0314GV0PQ8000012VS5489BUVSBBVPEU-G,Westfalen,Westfalen,5,Landesliga,IGA 2027 Frauen Landesliga Staffel 2 · Westfalen,14,21,88,62,SpVgg Horsthausen,9,fussball.de
0314GV0Q5G00000RVS5489BUVSBBVPEU-G,Westfalen,Westfalen,5,Landesliga,IGA 2027 Frauen Landesliga Staffel 3 · Westfalen,14,17,73,49,SV Langenhorst Welbergen,9,fussball.de
031CQMSMOK00000CVS5489BUVUR5FS5A-G,Württemberg,Württemberg,5,Landesliga,Landesliga 1 · Württemberg,12,0,0,0,SGM Wendlingen/Ötlingen,0,fussball.de
031CQMSN14000007VS5489BUVUR5FS5A-G,Württemberg,Württemberg,5,Landesliga,Landesliga 2 · Württemberg,12,0,0,0,FC Blau-Weiß Bellamont,0,fussball.de
0312Q1GS9G000003VS5489BTVU7GTVLE-G,,Deutschland,6,Regionalliga,Regionalliga Südwest,12,17,78,49,1. FC Saarbrücken,9,fussball.de
0316L6D12K000006VS5489BTVU7GTVLE-G,Baden,Kreis Mosbach,6,Kreisliga,bfv-Frauen Kreisliga MOS/BCH/TBB · Kreis Mosbach,4,0,0,0,SV Ballenberg,0,fussball.de
031DNDGVQC000006VS5489BTVUS470OH-G,Bayern,Bezirk Mittelfranken,6,Bezirksoberliga,Frauen BOL · Bezirk Mittelfranken,12,6,31,18,DJK Fiegenstall,3,fussball.de
0318D4JS3K00000AVS5489BUVSBBVPEU-G,Bayern,Bezirk Niederbayern,6,Bezirksoberliga,Frauen BOL · Bezirk Niederbayern,10,0,0,0,1. FC Passau,0,fussball.de
031EVJ7C48000006VS5489BUVUR5FS5A-G,Bayern,Bezirk Oberbayern,6,Bezirksoberliga,Frauen BOL · Bezirk Oberbayern,11,0,0,0,FC 1927 Oberau,0,fussball.de
031DRLDMBK000005VS5489BUVUR5FS5A-G,Bayern,Bezirk Oberfranken,6,Bezirksoberliga,Frauen BOL · Bezirk Oberfranken,12,12,61,35,Universitäts-Sportclub Bayreuth,6,fussball.de
0316VD0FOS000006VS5489BTVU7GTVLE-G,Bayern,Bezirk Oberpfalz,6,Bezirksoberliga,Frauen BOL · Bezirk Oberpfalz,10,5,18,13,SV Wilting (A),3,fussball.de
0316TGC1PG000006VS5489BTVU7GTVLE-G,Bayern,Bezirk Schwaben,6,Bezirksoberliga,Frauen BOL · Bezirk Schwaben,11,3,5,7,TSV Sielenbach,3,fussball.de
0319679CPO000057VS5489BTVSK8S3O6-G,Bayern,Bezirk Unterfranken,6,Bezirksoberliga,Frauen BOL · Bezirk Unterfranken,10,0,0,0,1. FC Schweinfurt,0,fussball.de
0317AJFCVG00000IVS5489BUVSBBVPEU-G,Berlin,Bezirk Berlin,6,Bezirksliga,Frauen Bezirksliga St.1 · Bezirk Berlin,14,14,80,38,BFC Dynamo,6,fussball.de
0317AJFD7800000LVS5489BUVSBBVPEU-G,Berlin,Bezirk Berlin,6,Bezirksliga,Frauen Bezirksliga St.2 · Bezirk Berlin,13,12,42,33,Lichtenrader BC,4,fussball.de
031CGDDNC800000JVS5489BUVUR5FS5A-G,Brandenburg,Kreis Dahme/Fläming,6,Kreisliga,Kreisliga · Kreis Dahme/Fläming,9,3,25,9,SG Südstern Senzig,3,fussball.de
031HTI8PTO000004VS5489BTVSRD0UH9-G,Brandenburg,Kreis Havelland,6,Kreisliga,Kreisliga Frauen (Kerstin Grothe-Benkenstein) · Kreis Havelland,11,7,49,21,FSV Viktoria Brandenburg 1990 e.V.,6,fussball.de
03142N5IIC00000CVS5489BUVSBBVPEU-G,Brandenburg,Kreis Oberhavel/Barnim,6,Kreisliga,Kreisliga Frauen · Kreis Oberhavel/Barnim,9,7,37,20,FSV Lok Eberswalde,6,fussball.de
031CP5NH8S00000HVS5489BTVUS470OH-G,Brandenburg,Kreis Ostbrandenburg,6,Kreisliga,Kreisliga · Kreis Ostbrandenburg,9,4,13,10,Storkower SC,3,fussball.de
031JVGVNLO00000DVS5489BUVVKNMR0J-G,Brandenburg,Kreis Prignitz/Ruppin,6,Kreisliga,Kreisliga Frauen · Kreis Prignitz/Ruppin,10,3,19,8,SG Sieversdorf,3,fussball.de
031F55NRLC000004VS5489BUVSJ4CRAP-G,Brandenburg,Kreis Südbrandenburg,6,Kreisliga,SBB/NL-Frauen-Kreisliga · Kreis Südbrandenburg,13,9,30,26,SG Gießmannsdorf,4,fussball.de
031CS3DM5400000EVS5489BTVUS470OH-G,Brandenburg,Kreis Uckermark,6,Kreisliga,Kreisliga Frauen · Kreis Uckermark,8,2,9,6,FSV Rot-Weiß Prenzlau,3,fussball.de
031FARD6IK000018VS5489BTVUS470OH-G,Bremen,Bezirk Bremen,6,Bezirksliga,Bezirksliga - Hauptrunde · Bezirk Bremen,6,6,33,18,Habenhauser FV,6,fussball.de
0314CCB7IG000000VS5489BTVU7GTVLE-G,Hamburg,Bezirksebene Hamburg,6,Bezirksliga,FBZL 01 · Bezirksebene Hamburg,12,12,50,33,SV Eidelstedt 1.Fr.,6,fussball.de
0314CCB7QC00000FVS5489BTVU7GTVLE-G,Hamburg,Bezirksebene Hamburg,6,Bezirksliga,FBZL 02 · Bezirksebene Hamburg,12,12,64,35,Ahrensburg 1.Fr.,6,fussball.de
031CO2CTM400000EVS5489BTVUS470OH-G,Hessen,Region Frankfurt,6,Gruppenliga,Frauen Gruppenliga Süd-Ost · Region Frankfurt,12,14,81,42,FSG Hassia Dieburg/Semd,9,fussball.de
031CO2GG3O00000GVS5489BTVUS470OH-G,Hessen,Region Fulda,6,Gruppenliga,Frauen Gruppenliga Nord-Ost · Region Fulda,10,16,82,46,FSG Raßdorf/Bosserode,9,fussball.de
