rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
71,Longericher SC,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,9,4,1,1,2,120,129,-9,3,0.75,,handball.net
72,Rhein-Neckar Löwen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,8,3,1,0,2,96,93,3,2,0.67,,handball.net
73,Stralsunder HV,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,10,3,1,0,2,84,83,1,2,0.67,,handball.net
74,Wilhelmshavener HV,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,9,3,1,0,2,82,81,1,2,0.67,,handball.net
75,HC Eintracht Hildesheim,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,10,3,1,0,2,96,96,0,2,0.67,,handball.net
76,MT Melsungen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,11,3,1,0,2,96,98,-2,2,0.67,,handball.net
77,Spfr. Loxten,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,12,3,1,0,2,101,104,-3,2,0.67,,handball.net
78,HSG Varel,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,13,3,1,0,2,97,100,-3,2,0.67,,handball.net
79,Bergische Panther,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,10,3,1,0,2,89,94,-5,2,0.67,,handball.net
80,SG Regensburg,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,11,3,1,0,2,98,104,-6,2,0.67,,handball.net
81,HSG Eider Harde,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,11,3,1,0,2,75,82,-7,2,0.67,,handball.net
82,Ahlener SG,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,14,3,1,0,2,91,101,-10,2,0.67,,handball.net
83,TSB Schwäbisch Gmünd,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,12,3,1,0,2,84,95,-11,2,0.67,,handball.net
84,TSB Heilbronn-Horkheim,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,13,3,1,0,2,101,115,-14,2,0.67,,handball.net
85,TV Kirchzell,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,11,3,1,0,2,82,100,-18,2,0.67,,handball.net
86,HV Vallendar,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,12,3,1,0,2,85,107,-22,2,0.67,,handball.net
87,TSV Bayer Dormagen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,13,3,0,1,2,92,94,-2,1,0.33,,handball.net
88,HG Hamburg-Barmbek,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,12,3,0,1,2,90,97,-7,1,0.33,,handball.net
89,NHV Concordia Delitzsch,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,13,3,0,1,2,91,110,-19,1,0.33,,handball.net
90,TUS 82 Opladen,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,14,3,0,0,3,81,88,-7,0,0.0,,handball.net
91,HSG Dutenhofen Münchholzhausen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,15,3,0,0,3,70,79,-9,0,0.0,,handball.net
92,TV 1861 Erlangen-Bruck,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,14,2,0,0,2,72,80,-8,0,0.0,,handball.net
93,HSG Hanau,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,16,2,0,0,2,53,62,-9,0,0.0,,handball.net
94,TV Bittenfeld II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,15,3,0,0,3,78,92,-14,0,0.0,,handball.net
95,HV Grün Weiß Werder,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,14,3,0,0,3,95,111,-16,0,0.0,,handball.net
